threads,total_time,phase1_time,phase2_time
16,0.000903,0.000903,0.000000
16,22.130333,7.754454,14.375879
16,0.057949,0.051954,0.005995
16,0.056071,0.050089,0.005983
16,0.044635,0.041927,0.002708
16,0.011996,0.010023,0.001973
16,0.012550,0.010455,0.002095
16,0.019921,0.017113,0.002807
16,0.057124,0.050979,0.006145
16,0.055912,0.050000,0.005913
16,0.045051,0.042435,0.002615
16,0.058264,0.052101,0.006163
16,0.057022,0.050977,0.006045
16,0.045774,0.043044,0.002729
16,0.012292,0.010165,0.002128
16,0.012983,0.010704,0.002279
16,0.020112,0.017322,0.002790
16,22.285680,7.762511,14.523168
